Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
95060,2/17/23,9903,47367,0, , 
95060,2/16/23,9903,47367,18,19457407.97, 
95060,2/15/23,9885,47367,0, , 
95060,2/14/23,9885,47367,0,32315456.49,0.75762
95060,2/13/23,9885,47367,13, , 
95060,2/12/23,9872,47367,0,17405765.29, 
95060,2/11/23,9872,47367,0, , 
95060,2/10/23,9872,47367,15, , 
95060,2/9/23,9857,47367,0,14127779.1, 
95060,2/8/23,9857,47367,0, , 
95060,2/7/23,9857,47367,0,9178215.58,0.757536
95060,2/6/23,9857,47367,11, , 
95060,2/5/23,9846,47367,0,12565206.39, 
95060,2/4/23,9846,47367,0, , 
95060,2/3/23,9846,47367,15, , 
95060,2/2/23,9846,47367,12,10258122.97, 
95060,2/1/23,9835,47367,0, , 
95060,1/31/23,9835,47367,0,34021445.45,0.757411
95060,1/30/23,9835,47367,5, , 
95060,1/29/23,9830,47367,0,20387843.27, 
95060,1/28/23,9830,47367,0, , 
95060,1/27/23,9830,47367,0, , 
95060,1/26/23,9830,47367,12,7975880.454, 
95060,1/25/23,9818,47367,0, , 
95060,1/24/23,9818,47367,0,5697858.358,0.757327
95060,1/23/23,9818,47367,7, , 
95060,1/22/23,9811,47367,0,4381052.914, 
95060,1/21/23,9811,47367,0, , 
95060,1/20/23,9811,47367,0, , 
95060,1/19/23,9811,47367,4,9912051.687, 
95060,1/18/23,9807,47367,0, , 
95060,1/17/23,9807,47367,19,7733279.547,0.757306
95060,1/16/23,9788,47367,0, , 
95060,1/15/23,9788,47367,0,9043864.762, 
95060,1/14/23,9788,47367,0, , 
95060,1/13/23,9788,47367,0, , 
95060,1/12/23,9788,47367,11,8953184.864, 
95060,1/11/23,9777,47367,0, , 
95060,1/10/23,9777,47367,0,11415664.76,0.757118
95060,1/9/23,9777,47367,18, , 
95060,1/8/23,9759,47367,0,5946316.828, 
95060,1/7/23,9759,47367,0, , 
95060,1/6/23,9759,47367,0, , 
95060,1/5/23,9759,47367,7, , 
95060,1/4/23,9752,47367,0, , 
95060,1/3/23,9752,47367,15,2825347.825,0.757097
95060,1/2/23,9737,47367,0, , 
95060,1/1/23,9737,47367,0,3045525.496, 
95060,12/31/22,9737,47367,0, , 
95060,12/30/22,9737,47367,13, , 
95060,12/29/22,9724,47367,0, , 
95060,12/28/22,9724,47367,0, , 
95060,12/27/22,9724,47367,88,6596244.303,0.757013
95060,12/26/22,9636,47367,0,6562110.732, 
95060,12/25/22,9636,47367,0, , 
95060,12/24/22,9636,47367,0, , 
95060,12/23/22,9636,47367,0, , 
95060,12/22/22,9636,47367,0,4321834.108, 
95060,12/21/22,9636,47367,0, , 
95060,12/20/22,9636,47367,0,1813728.529,0.756888
95060,12/19/22,9636,47367,0, , 
95060,12/18/22,9636,47367,0,3709206.362, 
95060,12/17/22,9636,47367,0, , 
95060,12/16/22,9636,47367,0, , 
95060,12/15/22,9636,47367,18,19328559.58, 
95060,12/14/22,9618,47367,0, , 
95060,12/13/22,9618,47367,0,2186933.33,0.756741
95060,12/12/22,9618,47367,49, , 
95060,12/11/22,9569,47367,0,279218.4255, 
95060,12/10/22,9569,47367,0, , 
95060,12/9/22,9569,47367,0, , 
95060,12/8/22,9569,47367,23,594287.4317, 
95060,12/7/22,9546,47367,0, , 
95060,12/6/22,9546,47367,0,677308.0331,0.756574
95060,12/5/22,9546,47367,74, , 
95060,12/4/22,9472,47367,0,438913.7907, 
95060,12/3/22,9472,47367,0, , 
95060,12/2/22,9472,47367,0, , 
95060,12/1/22,9472,47367,0,727393.5954, 
95060,11/30/22,9472,47367,0, , 
95060,11/29/22,9472,47367,0,449700.9762,0.75649
95060,11/28/22,9472,47367,46, , 
95060,11/27/22,9426,47367,0,9423483.824, 
95060,11/26/22,9426,47367,0, , 
95060,11/25/22,9426,47367,0, , 
95060,11/24/22,9426,47367,0, , 
95060,11/23/22,9426,47367,0, , 
95060,11/22/22,9426,47367,0,357436.8032,0.756365
95060,11/21/22,9426,47367,37, , 
95060,11/20/22,9389,47367,0,173499.0026, 
95060,11/19/22,9389,47367,0, , 
95060,11/18/22,9389,47367,0, , 
95060,11/17/22,9389,47367,13, , 
95060,11/16/22,9376,47367,0,171028.2323, 
95060,11/15/22,9376,47367,0, ,0.756135
95060,11/14/22,9376,47367,20, , 
95060,11/13/22,9356,47367,0,104330.6515, 
95060,11/12/22,9356,47367,0, , 
95060,11/11/22,9356,47367,0, , 
95060,11/10/22,9356,47367,11, , 
95060,11/9/22,9345,47367,0,255283.4732, 
95060,11/8/22,9345,47367,0,145527.6891,0.755884
95060,11/7/22,9345,47367,19, , 
95060,11/6/22,9326,47367,0,95165.42263, 
95060,11/5/22,9326,47367,0, , 
95060,11/4/22,9326,47367,0, , 
95060,11/3/22,9326,47367,6,581348.3696, 
95060,11/2/22,9320,47367,0, , 
95060,11/1/22,9320,47367,0,210962.0231,0.755716
95060,10/31/22,9320,47367,18, , 
95060,10/30/22,9302,47367,0,41313.07814, 
95060,10/29/22,9302,47367,0, , 
95060,10/28/22,9302,47367,0, , 
95060,10/27/22,9302,47367,14,322822.9114, 
95060,10/26/22,9288,47367,0, , 
95060,10/25/22,9288,47367,0,83720.46859,0.75557
95060,10/24/22,9288,47367,38, , 
95060,10/23/22,9250,47367,0,47926.72007, 
95060,10/22/22,9250,47367,0, , 
95060,10/21/22,9250,47367,0, , 
95060,10/20/22,9250,47367,16,75633.39377, 
95060,10/19/22,9234,47367,0, , 
95060,10/18/22,9234,47367,0,87861.48023,0.755277
95060,10/17/22,9234,47367,39, , 
95060,10/16/22,9195,47367,0,126203.1088, 
95060,10/15/22,9195,47367,0, , 
95060,10/14/22,9195,47367,0, , 
95060,10/13/22,9195,47367,5,222004.5095, 
95060,10/12/22,9190,47367,0, , 
95060,10/11/22,9190,47367,28,112863.1955,0.755026
95060,10/10/22,9162,47367,0, , 
95060,10/9/22,9162,47367,0,61061.55662, 
95060,10/8/22,9162,47367,0, , 
95060,10/7/22,9162,47367,0, , 
95060,10/6/22,9162,47367,8,88894.55474, 
95060,10/5/22,9154,47367,0, , 
95060,10/4/22,9154,47367,0,226389.8334,0.754608
95060,10/3/22,9154,47367,19, , 
95060,10/2/22,9135,47367,0,192614.8881, 
95060,10/1/22,9135,47367,0, , 
95060,9/30/22,9135,47367,0, , 
95060,9/29/22,9135,47367,24,165967.2477, 
95060,9/28/22,9111,47367,0, , 
95060,9/27/22,9111,47367,0,74188.58727,0.754315
95060,9/26/22,9111,47367,20, , 
95060,9/25/22,9091,47367,0,63017.33566, 
95060,9/24/22,9091,47367,0, , 
95060,9/23/22,9091,47367,0, , 
95060,9/22/22,9091,47367,8,80821.11793, 
95060,9/21/22,9083,47367,0, , 
95060,9/20/22,9083,47367,0,81773.56814,0.753813
95060,9/19/22,9083,47367,12, , 
95060,9/18/22,9071,47367,0,116238.8742, 
95060,9/17/22,9071,47367,0, , 
95060,9/16/22,9071,47367,0, , 
95060,9/15/22,9071,47367,14, , 
95060,9/14/22,9057,47367,0, , 
95060,9/13/22,9057,47367,0,81291.00625,0.75329
95060,9/12/22,9057,47367,29, , 
95060,9/11/22,9028,47367,0,54336.18071, 
95060,9/10/22,9028,47367,0, , 
95060,9/9/22,9028,47367,0, , 
95060,9/8/22,9028,47367,6,128091.4884, 
95060,9/7/22,9022,47367,0, , 
95060,9/6/22,9022,47367,33, ,0.752871
95060,9/5/22,8989,47367,0,102423.6023, 
95060,9/4/22,8989,47367,0,276877.2394, 
95060,9/3/22,8989,47367,0, , 
95060,9/2/22,8989,47367,0,206420.8396, 
95060,9/1/22,8989,47367,15, , 
95060,8/31/22,8974,47367,0,222986.1031, 
95060,8/30/22,8974,47367,0, ,0.752578
95060,8/29/22,8974,47367,39, , 
95060,8/28/22,8935,47367,0,76281.60535, 
95060,8/27/22,8935,47367,0, , 
95060,8/26/22,8935,47367,0, , 
95060,8/25/22,8935,47367,33,159682.1064, 
95060,8/24/22,8902,47367,0, , 
95060,8/23/22,8902,47367,0,95345.78717,0.752244
95060,8/22/22,8902,47367,47, , 
95060,8/21/22,8855,47367,0,140986.6661, 
95060,8/20/22,8855,47367,0, , 
95060,8/19/22,8855,47367,0, , 
95060,8/18/22,8855,47367,16,188773.8221, 
95060,8/17/22,8839,47367,0, , 
95060,8/16/22,8839,47367,0,192521.4247,0.750968
95060,8/15/22,8839,47367,48, , 
95060,8/14/22,8791,47367,0,159978.6673, 
95060,8/13/22,8791,47367,0, , 
95060,8/12/22,8791,47367,0, , 
95060,8/11/22,8791,47367,20,204606.5688, 
95060,8/10/22,8771,47367,0, , 
95060,8/9/22,8771,47367,0,310257.9811,0.750089
95060,8/8/22,8771,47367,69, , 
95060,8/7/22,8702,47367,0,141843.5165, 
95060,8/6/22,8702,47367,0, , 
95060,8/5/22,8702,47367,0, , 
95060,8/4/22,8702,47367,27,253205.7645, 
95060,8/3/22,8675,47367,0, , 
95060,8/2/22,8675,47367,0,204933.1532,0.749106
95060,8/1/22,8675,47367,63, , 
95060,7/31/22,8612,47367,0,804847.8796, 
95060,7/30/22,8612,47367,0, , 
95060,7/29/22,8612,47367,0, , 
95060,7/28/22,8612,47367,29,357934.7738, 
95060,7/27/22,8583,47367,0, , 
95060,7/26/22,8583,47367,0,637368.2487,0.74783
95060,7/25/22,8583,47367,80, , 
95060,7/24/22,8503,47367,0,274587.4587, 
95060,7/23/22,8503,47367,0, , 
95060,7/22/22,8503,47367,0, , 
95060,7/21/22,8503,47367,35,1130317.383, 
95060,7/20/22,8468,47367,0, , 
95060,7/19/22,8468,47367,0,608402.2314,0.746679
95060,7/18/22,8468,47367,80, , 
95060,7/17/22,8388,47367,0,484191.0697, 
95060,7/16/22,8388,47367,0, , 
95060,7/15/22,8388,47367,0, , 
95060,7/14/22,8388,47367,38,576651.2553, 
95060,7/13/22,8350,47367,0, , 
95060,7/12/22,8350,47367,0,596119.58,0.746344
95060,7/11/22,8350,47367,76, , 
95060,7/10/22,8274,47367,0,478978.475, 
95060,7/9/22,8274,47367,0, , 
95060,7/8/22,8274,47367,0, , 
95060,7/7/22,8274,47367,15,470698.4705, 
95060,7/6/22,8259,47367,0, , 
95060,7/5/22,8259,47367,100,685610.1287,0.746114
95060,7/4/22,8159,47367,0, , 
95060,7/3/22,8159,47367,0,543877.3807, 
95060,7/2/22,8159,47367,0, , 
95060,7/1/22,8159,47367,0, , 
95060,6/30/22,8159,47367,30,1039760.234, 
95060,6/29/22,8129,47367,0, , 
95060,6/28/22,8129,47367,0,550202.2425,0.745842
95060,6/27/22,8129,47367,112, , 
95060,6/26/22,8017,47367,0,407062.5691, 
95060,6/25/22,8017,47367,0, , 
95060,6/24/22,8017,47367,0, , 
95060,6/23/22,8017,47367,24,571793.6733, 
95060,6/22/22,7993,47367,0, , 
95060,6/21/22,7993,47367,89,4450454.762,0.745633
95060,6/20/22,7904,47367,0, , 
95060,6/19/22,7904,47367,0,575258.1581, 
95060,6/18/22,7904,47367,0, , 
95060,6/17/22,7904,47367,0,202415.2514, 
95060,6/16/22,7904,47367,34,566559.0887, 
95060,6/15/22,7870,47367,0, , 
95060,6/14/22,7870,47367,0,699564.6653,0.745445
95060,6/13/22,7870,47367,84, , 
95060,6/12/22,7786,47367,0,312675.1862, 
95060,6/11/22,7786,47367,0, , 
95060,6/10/22,7786,47367,0, , 
95060,6/9/22,7786,47367,55,336725.341, 
95060,6/8/22,7731,47367,0, , 
95060,6/7/22,7731,47367,0,359240.161,0.745089
95060,6/6/22,7731,47367,69, , 
95060,6/5/22,7662,47367,0,1278105.435, 
95060,6/4/22,7662,47367,0, , 
95060,6/3/22,7662,47367,0, , 
95060,6/2/22,7662,47367,22,566436.7816, 
95060,6/1/22,7640,47367,0, , 
95060,5/31/22,7640,47367,0,1958546.41,0.744503
95060,5/30/22,7640,47367,97, , 
95060,5/29/22,7543,47367,0,316958.5939, 
95060,5/28/22,7543,47367,0, , 
95060,5/27/22,7543,47367,0, , 
95060,5/26/22,7543,47367,17,693623.013, 
95060,5/25/22,7526,47367,0, , 
95060,5/24/22,7526,47367,0,436066.5018,0.743876
95060,5/23/22,7526,47367,70, , 
95060,5/22/22,7456,47367,0,141454.8392, 
95060,5/21/22,7456,47367,0, , 
95060,5/20/22,7456,47367,0, , 
95060,5/19/22,7456,47367,71,158568.2056, 
95060,5/18/22,7385,47367,0, , 
95060,5/17/22,7385,47367,0,677600.3821,0.743248
95060,5/16/22,7385,47367,138, , 
95060,5/15/22,7247,47367,0,333023.6053, 
95060,5/14/22,7247,47367,0, , 
95060,5/13/22,7247,47367,0, , 
95060,5/12/22,7247,47367,63,358951.7866, 
95060,5/11/22,7184,47367,0, , 
95060,5/10/22,7184,47367,0,928168.2211,0.742767
95060,5/9/22,7184,47367,77, , 
95060,5/8/22,7107,47367,0,192276.7846, 
95060,5/7/22,7107,47367,0, , 
95060,5/6/22,7107,47367,0, , 
95060,5/5/22,7107,47367,48,437227.7228, 
95060,5/4/22,7059,47367,0, , 
95060,5/3/22,7059,47367,0,507689.9146,0.742202
95060,5/2/22,7059,47367,74, , 
95060,5/1/22,6985,47367,0,149200.1445, 
95060,4/30/22,6985,47367,0, , 
95060,4/29/22,6985,47367,0, , 
95060,4/28/22,6985,47367,36,361639.4875, 
95060,4/27/22,6949,47367,0, , 
95060,4/26/22,6949,47367,0,90863.24429,0.7417
95060,4/25/22,6949,47367,47, , 
95060,4/24/22,6902,47367,0,136959.5195, 
95060,4/23/22,6902,47367,0, , 
95060,4/22/22,6902,47367,0, , 
95060,4/21/22,6902,47367,23,195537.5671, 
95060,4/20/22,6879,47367,0, , 
95060,4/19/22,6879,47367,0,165322.6024,0.741114
95060,4/18/22,6879,47367,20, , 
95060,4/17/22,6859,47367,0,163678.2934, 
95060,4/16/22,6859,47367,0, , 
95060,4/15/22,6859,47367,24, , 
95060,4/14/22,6835,47367,32,95891.48259, 
95060,4/13/22,6803,47367,0, , 
95060,4/12/22,6803,47367,0,242166.9006,0.740612
95060,4/11/22,6803,47367,26,334076.9834, 
95060,4/10/22,6777,47367,0, , 
95060,4/9/22,6777,47367,0, , 
95060,4/8/22,6777,47367,0, , 
95060,4/7/22,6777,47367,28,103649.1041, 
95060,4/6/22,6749,47367,0, , 
95060,4/5/22,6749,47367,0,29936.85903,0.739964
95060,4/4/22,6749,47367,21, , 
95060,4/3/22,6728,47367,0,37694.16809, 
95060,4/2/22,6728,47367,0, , 
95060,4/1/22,6728,47367,0, , 
95060,3/31/22,6728,47367,15, , 
95060,3/30/22,6713,47367,0, , 
95060,3/29/22,6713,47367,0, ,0.739441
95060,3/28/22,6713,47367,25, , 
95060,3/27/22,6688,47367,0, , 
95060,3/26/22,6688,47367,0, , 
95060,3/25/22,6688,47367,0, , 
95060,3/24/22,6688,47367,11, , 
95060,3/23/22,6677,47367,0, , 
95060,3/22/22,6677,47367,0, ,0.738897
95060,3/21/22,6677,47367,29, , 
95060,3/20/22,6648,47367,0, , 
95060,3/19/22,6648,47367,0, , 
95060,3/18/22,6648,47367,0, , 
95060,3/17/22,6648,47367,15, , 
95060,3/16/22,6633,47367,0, , 
95060,3/15/22,6633,47367,0, ,0.738353
95060,3/14/22,6633,47367,33, , 
95060,3/13/22,6600,47367,0, , 
95060,3/12/22,6600,47367,0, , 
95060,3/11/22,6600,47367,0, , 
95060,3/10/22,6600,47367,9, , 
95060,3/9/22,6591,47367,0, , 
95060,3/8/22,6591,47367,4, ,0.737767
95060,3/7/22,6587,47367,39, , 
95060,3/6/22,6548,47367,0, , 
95060,3/5/22,6548,47367,0, , 
95060,3/4/22,6548,47367,0, , 
95060,3/3/22,6548,47367,31, , 
95060,3/2/22,6517,47367,0, , 
95060,3/1/22,6517,47367,0, ,0.737098
95060,2/28/22,6517,47367,56, , 
95060,2/27/22,6461,47367,0, , 
95060,2/26/22,6461,47367,0, , 
95060,2/25/22,6461,47367,0, , 
95060,2/24/22,6461,47367,30, , 
95060,2/23/22,6431,47367,0, , 
95060,2/22/22,6431,47367,6431, ,0.735968
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,